Title	URL	Assignees	Status	Estimated Size	Milestone	Labels	Real Size
Delete uploaded document from upload screen	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/29	kristikotini	Feature Archive	3	Data source processing	enhancement, Priority - Low	3
Create new knowledge graph button (link to current user flow)	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/96	yashbhesaniya	Feature Archive	2	User Interface	enhancement, Priority - Medium	2
View list/table of existing knowledge graphs	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/95	Sandeep-kumar-Ramesh	Feature Archive	5	User Interface	enhancement, Priority - Medium	5
Create landing page	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/94	Sandeep-kumar-Ramesh	Feature Archive	3	User Interface	enhancement, Priority - High	3
Linting/Formatting	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/88	nikolas-rauscher	Feature Archive	3		enhancement, Priority - Low	3
Remove JanusGraph	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/120	nikolas-rauscher	Feature Archive	1		Priority - Low, refactoring	1
Ordering size of nodes for graph visualization	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/97	iremozs	Feature Archive	3	Graph building and visualization	enhancement, Priority - Medium	3
Refine graph connections	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/118	get4flo	Feature Archive	3	Graph building and visualization	enhancement, Priority - Medium	3
Refine .json extraction from LLM results	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/117	borges-filipe	Feature Archive	3	Interaction with LLM	enhancement, Priority - Medium	3
Deploy documentation	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/84	nikolas-rauscher	Feature Archive	3		homework, Priority - High	3
User documentation	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/82	iremozs	Feature Archive	3		homework, Priority - High	3
Technical/design documentation	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/83	kristikotini	Feature Archive	2		homework, Priority - High	2
Save graph data	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/25	kristikotini	Feature Archive	8	Graph building and visualization	enhancement, Priority - High	8
Generate graph visualization from database	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/80	kristikotini, Sandeep-kumar-Ramesh	Feature Archive	5	Graph building and visualization	enhancement, Priority - High	5
Connect entities to graph data	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/79	get4flo, nikolas-rauscher	Feature Archive	5		enhancement, Priority - High	5
Connecting components from document to entities	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/55	borges-filipe, yashbhesaniya	Feature Archive	5		enhancement, Priority - High	5
Prepare LLM setup for dev team	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/45	nikolas-rauscher	Feature Archive	2	Interaction with LLM	enhancement, Priority - High	2
LLM function	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/54	yashbhesaniya	Feature Archive	3	Interaction with LLM	enhancement, Priority - High	3
CORS implementation	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/62	nikolas-rauscher	Feature Archive	3	Data source processing	enhancement, Priority - High	3
Generate graph button	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/56	Sandeep-kumar-Ramesh	Feature Archive	5	User Interface	enhancement, Priority - High	8
Create record in database	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/23	iremozs	Feature Archive	5	Data source processing	enhancement, Priority - High	5
HW: Build Process Video	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/60	borges-filipe	Feature Archive	3		homework, Priority - High	3
