Title	URL	Assignees	Status	Estimated Size	Milestone	Labels	Real Size
HW: Finalize user, (technical) design, and build/deploy documentation	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/111	borges-filipe, kristikotini, Sandeep-kumar-Ramesh	Feature Archive	3		documentation, homework	3
Follow up on graph search with embeddings POC	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/175	get4flo, nikolas-rauscher	Feature Archive	5	Graph querying	enhancement, Priority - Medium	8
Bug: wrong file type error unclear and too long	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/195	Sandeep-kumar-Ramesh	Feature Archive	2		bug	2
Cache graph visualization	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/164	yashbhesaniya	Feature Archive	5	Graph building and visualization	enhancement, Priority - Low	5
Clean up codebase	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/122	borges-filipe	Feature Archive	1		Priority - Low, refactoring	3
"Home, Upload, About" - either have it or not. Also, if we keep it, it should be center-aligned	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/197	borges-filipe	Feature Archive	2	User Interface	enhancement	2
Time formatting	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/208	Sandeep-kumar-Ramesh	Feature Archive	1		bug	1
Minimize topics legend	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/178	iremozs	Feature Archive	2	User Interface	enhancement, Priority - Low	2
Bug: page numbers don't always show on hover	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/188	kristikotini	Feature Archive	3		bug	3
End-to-end testing of application and features	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/125	nikolas-rauscher	Feature Archive	1		organizational	1
Finalize demo day workflow	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/112	borges-filipe, get4flo, iremozs, kristikotini, kuoirene, nikolas-rauscher, RebeccaGreiner, Sandeep-kumar-Ramesh, yashbhesaniya	Feature Archive	3		organizational	3
Demo day video (3min max)	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/124	kristikotini	Feature Archive	3		homework	3
Demo day slides	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/123	kuoirene, RebeccaGreiner	Feature Archive	2		homework	2
Bug: Page numbers start at 0 instead of 1	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/182	kristikotini	Feature Archive	1		bug	1
Bug: missing panel on graph visualization and layouts #4 and #5 don't display	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/180	borges-filipe, nikolas-rauscher	Feature Archive	5		bug	5
Work on graph clustering/coloring ambiguity issue	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/181	iremozs	Feature Archive	3	Graph building and visualization	enhancement	3
Notification for delete from graph list	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/163	Sandeep-kumar-Ramesh	Feature Archive	2	User Interface	enhancement, Priority - Low	2
Responsive web design	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/110	borges-filipe	Feature Archive	2	User Interface	enhancement, Priority - Low	2
Hover over node, display page numbers	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/49	borges-filipe	Feature Archive	3	User Interface	enhancement, Priority - Low	3
Clustering of nodes / topic modeling: coloring	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/106	Sandeep-kumar-Ramesh	Feature Archive	3	User Interface	enhancement, Priority - Low	3
Find way to improve performance time	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/107	get4flo	Feature Archive	5	Interaction with LLM	enhancement, Priority - Medium	5
Display of most important entities	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/159	yashbhesaniya	Feature Archive	5	User Interface	enhancement, Priority - Low	3
Support multiple document formats	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/161	kristikotini	Feature Archive	3	Data source processing	enhancement, Priority - Low	3
